nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,  turb-intensity,      z-velocity,      y-velocity,      x-velocity
        44, 3.000000054E-01,-3.636363657E-01, 1.249999956E-01, 1.278622971E-01, 2.782739138E-03,-2.039350244E-03, 2.379119518E+00
        45, 4.499999921E-01,-3.636363772E-01, 1.249999996E-01, 1.279580269E-01, 1.304873153E-03, 3.174834170E-04, 2.381698058E+00
        46, 6.000000172E-01,-3.636363691E-01, 1.249999968E-01, 1.281012997E-01, 6.458113329E-04, 1.045658677E-03, 2.378811097E+00
        47, 7.500000194E-01,-3.636363691E-01, 1.249999965E-01, 1.282764651E-01, 5.155596543E-04, 9.803606375E-04, 2.374688567E+00
        48, 8.999999860E-01,-3.636363775E-01, 1.249999995E-01, 1.284763904E-01, 6.034146228E-04, 6.468315189E-04, 2.371047981E+00
        49, 1.049999886E+00,-3.636363609E-01, 1.249999940E-01, 1.286994973E-01, 7.352521359E-04, 2.833541019E-04, 2.368293676E+00
        50, 1.200000032E+00,-3.636363691E-01, 1.249999968E-01, 1.289457831E-01, 8.455823554E-04,-3.853299765E-05, 2.366296762E+00
        51, 1.350000032E+00,-3.636363677E-01, 1.249999961E-01, 1.292166674E-01, 9.216128674E-04,-3.138693679E-04, 2.364849343E+00
        52, 1.499999971E+00,-3.636363521E-01, 1.249999909E-01, 1.295143774E-01, 9.698160331E-04,-5.549104995E-04, 2.363779477E+00
        53, 1.649999926E+00,-3.636363691E-01, 1.249999968E-01, 1.298418309E-01, 9.957011696E-04,-7.757482832E-04, 2.362962627E+00
        54, 1.799999931E+00,-3.636363691E-01, 1.249999968E-01, 1.302014274E-01, 1.005797764E-03,-9.877406408E-04, 2.362304668E+00
        55, 1.950000047E+00,-3.636363677E-01, 1.249999961E-01, 1.305958172E-01, 1.004971210E-03,-1.198178436E-03, 2.361743048E+00
        56, 2.099999954E+00,-3.636363718E-01, 1.249999977E-01, 1.310272391E-01, 9.954375968E-04,-1.412176265E-03, 2.361230230E+00
        57, 2.250000011E+00,-3.636363609E-01, 1.249999940E-01, 1.314965604E-01, 9.799947100E-04,-1.632362929E-03, 2.360726359E+00
        58,-4.499999921E-01,-3.454545583E-01, 1.249999996E-01, 1.274486730E-01, 1.658872368E-03,-1.359531000E-03, 2.279935211E+00
