nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,  turb-intensity,      z-velocity,      y-velocity,      x-velocity
        44, 3.000000072E-01,-3.636363691E-01, 0.000000000E+00, 1.701565572E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        45, 4.499999820E-01,-3.636363691E-01, 0.000000000E+00, 1.694069786E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        46, 5.999999973E-01,-3.636363582E-01, 0.000000000E+00, 1.688019111E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        47, 7.500000434E-01,-3.636363799E-01, 0.000000000E+00, 1.683953249E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        48, 8.999999640E-01,-3.636363691E-01, 0.000000000E+00, 1.681276535E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        49, 1.049999909E+00,-3.636363691E-01, 0.000000000E+00, 1.679513008E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        50, 1.200000069E+00,-3.636363799E-01, 0.000000000E+00, 1.678271898E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        51, 1.350000037E+00,-3.636363691E-01, 0.000000000E+00, 1.677438667E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        52, 1.500000042E+00,-3.636363691E-01, 0.000000000E+00, 1.676993680E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        53, 1.649999926E+00,-3.636363691E-01, 0.000000000E+00, 1.676640338E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        54, 1.799999875E+00,-3.636363582E-01, 0.000000000E+00, 1.676435543E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        55, 1.950000054E+00,-3.636363691E-01, 0.000000000E+00, 1.676365410E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        56, 2.099999954E+00,-3.636363718E-01, 0.000000000E+00, 1.676426285E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        57, 2.250000061E+00,-3.636363691E-01, 0.000000000E+00, 1.676603038E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        58,-4.499999820E-01,-3.454545506E-01, 0.000000000E+00, 1.652812263E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        59,-3.000000072E-01,-3.454545506E-01, 0.000000000E+00, 1.657234826E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        60,-1.500000033E-01,-3.454545455E-01, 0.000000000E+00, 1.670399889E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        61, 8.708311849E-16,-3.454545506E-01, 0.000000000E+00, 1.691891557E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        62, 1.500000033E-01,-3.454545455E-01, 0.000000000E+00, 1.704708407E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        63, 3.000000072E-01,-3.454545506E-01, 0.000000000E+00, 1.701678768E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        64, 4.499999820E-01,-3.454545506E-01, 0.000000000E+00, 1.694022213E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        65, 5.999999973E-01,-3.454545403E-01, 0.000000000E+00, 1.687976810E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        66, 7.500000434E-01,-3.454545609E-01, 0.000000000E+00, 1.683954445E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        67, 8.999999640E-01,-3.454545506E-01, 0.000000000E+00, 1.681324539E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        68, 1.049999909E+00,-3.454545506E-01, 0.000000000E+00, 1.679619497E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        69, 1.200000069E+00,-3.454545609E-01, 0.000000000E+00, 1.678464158E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        70, 1.350000037E+00,-3.454545506E-01, 0.000000000E+00, 1.677749901E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        71, 1.500000042E+00,-3.454545506E-01, 0.000000000E+00, 1.677421766E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        72, 1.649999926E+00,-3.454545506E-01, 0.000000000E+00, 1.677222449E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        73, 1.799999875E+00,-3.454545403E-01, 0.000000000E+00, 1.677191250E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        74, 1.950000054E+00,-3.454545506E-01, 0.000000000E+00, 1.677317948E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        75, 2.099999954E+00,-3.454545532E-01, 0.000000000E+00, 1.677601775E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        76, 2.250000061E+00,-3.454545506E-01, 0.000000000E+00, 1.678023815E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        77,-4.499999820E-01,-3.272727321E-01, 0.000000000E+00, 1.652590038E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        78,-3.000000072E-01,-3.272727321E-01, 0.000000000E+00, 1.656712754E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        79,-1.500000050E-01,-3.272727321E-01, 0.000000000E+00, 1.669982075E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        80, 8.465450563E-16,-3.272727321E-01, 0.000000000E+00, 1.692478012E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        81, 1.500000033E-01,-3.272727273E-01, 0.000000000E+00, 1.705600447E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        82, 3.000000072E-01,-3.272727321E-01, 0.000000000E+00, 1.701842586E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        83, 4.499999820E-01,-3.272727321E-01, 0.000000000E+00, 1.693907266E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        84, 5.999999973E-01,-3.272727224E-01, 0.000000000E+00, 1.687870791E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        85, 7.500000434E-01,-3.272727419E-01, 0.000000000E+00, 1.683918269E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        86, 8.999999640E-01,-3.272727321E-01, 0.000000000E+00, 1.681379360E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        87, 1.049999909E+00,-3.272727321E-01, 0.000000000E+00, 1.679809519E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        88, 1.200000069E+00,-3.272727419E-01, 0.000000000E+00, 1.678812903E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        89, 1.350000037E+00,-3.272727321E-01, 0.000000000E+00, 1.678292622E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        90, 1.500000042E+00,-3.272727321E-01, 0.000000000E+00, 1.678154181E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
        91, 1.649999926E+00,-3.272727321E-01, 0.000000000E+00, 1.678200706E-01, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
