nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,  turb-intensity,      z-velocity,      y-velocity,      x-velocity
       388, 5.999999973E-01,-1.126657215E-16, 1.810526256E-01, 3.058003028E-01,-2.478237278E-02, 1.095169140E-01, 1.481666235E+00
       389, 7.500000434E-01,-1.163634285E-16, 1.810526364E-01, 3.083959220E-01,-2.320078956E-02, 8.488031056E-02, 1.623791164E+00
       390, 8.999999640E-01,-1.200611236E-16, 1.810526310E-01, 3.038000427E-01,-2.104390239E-02, 6.653362811E-02, 1.741044630E+00
       391, 1.049999909E+00,-1.237588222E-16, 1.810526310E-01, 2.955193959E-01,-1.940823373E-02, 5.272999707E-02, 1.835689761E+00
       392, 1.200000069E+00,-1.274565291E-16, 1.810526364E-01, 2.857028097E-01,-1.829253242E-02, 4.222481447E-02, 1.912354833E+00
       393, 1.350000037E+00,-1.311542253E-16, 1.810526310E-01, 2.754767620E-01,-1.755350451E-02, 3.415965005E-02, 1.974925561E+00
       394, 1.500000019E+00,-1.348519234E-16, 1.810526283E-01, 2.654763984E-01,-1.708572037E-02, 2.791841757E-02, 2.026345912E+00
       395, 1.649999926E+00,-1.385496226E-16, 1.810526310E-01, 2.560411352E-01,-1.679150939E-02, 2.306875902E-02, 2.068823463E+00
       396, 1.799999931E+00,-1.422473227E-16, 1.810526310E-01, 2.473081156E-01,-1.659204892E-02, 1.925039028E-02, 2.104281141E+00
       397, 1.950000082E+00,-1.459450278E-16, 1.810526337E-01, 2.393219758E-01,-1.644115259E-02, 1.620061212E-02, 2.134095051E+00
       398, 2.099999938E+00,-1.496427228E-16, 1.810526310E-01, 2.320816568E-01,-1.634216948E-02, 1.373726188E-02, 2.159301922E+00
       399, 2.250000061E+00,-1.533404258E-16, 1.810526310E-01, 2.255469964E-01,-1.627441176E-02, 1.172088972E-02, 2.180771582E+00
       400,-4.499999820E-01,-2.506218923E-17, 1.978947368E-01, 1.089106522E-01, 2.307104271E-03,-3.476528521E-04, 2.415112969E+00
       401,-3.000000143E-01,-2.547304524E-17, 1.978947408E-01, 1.096551062E-01, 6.963283599E-03,-6.833333867E-04, 2.407438125E+00
       402,-1.500000050E-01,-2.588390028E-17, 1.978947368E-01, 1.120454897E-01, 3.999101219E-02,-1.914480234E-03, 2.359085748E+00
       403,-1.179611964E-15,-2.629475585E-17, 1.978947368E-01, 1.484785707E-01, 2.527913687E-01, 8.145351522E-02, 1.835675211E+00
       404, 1.500000033E-01,-2.670561102E-17, 1.978947338E-01, 2.115013472E-01, 3.307744053E-02, 1.566983277E-01, 1.482685253E+00
       405, 3.000000072E-01,-2.711646697E-17, 1.978947368E-01, 2.603519807E-01,-1.804016057E-02, 1.420754237E-01, 1.519156978E+00
       406, 4.499999820E-01,-2.752732246E-17, 1.978947368E-01, 2.901144586E-01,-3.406160511E-02, 1.142857709E-01, 1.634252777E+00
       407, 5.999999973E-01,-2.793817727E-17, 1.978947309E-01, 3.038621025E-01,-3.667020810E-02, 9.014500039E-02, 1.748350251E+00
       408, 7.500000434E-01,-2.834903452E-17, 1.978947427E-01, 3.063995391E-01,-3.435358611E-02, 7.136750484E-02, 1.846200514E+00
       409, 8.999999640E-01,-2.875988907E-17, 1.978947368E-01, 3.021211375E-01,-3.136923625E-02, 5.704869048E-02, 1.927068454E+00
       410, 1.049999909E+00,-2.917074447E-17, 1.978947368E-01, 2.941854586E-01,-2.894749964E-02, 4.603334662E-02, 1.993214894E+00
       411, 1.200000069E+00,-2.958160125E-17, 1.978947427E-01, 2.846368968E-01,-2.719919407E-02, 3.743624025E-02, 2.047709816E+00
       412, 1.350000037E+00,-2.999245593E-17, 1.978947368E-01, 2.745918834E-01,-2.586608973E-02, 3.069641725E-02, 2.092859937E+00
       413, 1.500000019E+00,-3.040331105E-17, 1.978947338E-01, 2.646792810E-01,-2.484040966E-02, 2.539761924E-02, 2.130525406E+00
       414, 1.649999926E+00,-3.081416674E-17, 1.978947368E-01, 2.552503163E-01,-2.403266980E-02, 2.121636522E-02, 2.162117967E+00
       415, 1.799999875E+00,-3.122502137E-17, 1.978947309E-01, 2.464588567E-01,-2.337326666E-02, 1.789216147E-02, 2.188855358E+00
